import time: self [us] | cumulative | imported package
import time:     24907 |      56515 |                 matplotlib.legend
import time:     10145 |      10145 |                 matplotlib.mlab
import time:     10827 |      10827 |                 matplotlib.quiver
import time:     13626 |      13626 |                 matplotlib.stackplot
import time:     10867 |      10867 |                 matplotlib.streamplot
import time:     10376 |      10376 |                   matplotlib.tri._triangulation
import time:      7911 |       7911 |                   matplotlib.tri._tricontour
import time:      8805 |       8805 |                   matplotlib.tri._trifinder
import time:      6849 |       6849 |                     matplotlib.tri._tritools
import time:      8389 |      15238 |                   matplotlib.tri._triinterpolate
import time:     16489 |      16489 |                   matplotlib.tri._tripcolor
import time:     18548 |      18548 |                   matplotlib.tri._triplot
import time:     11198 |      11198 |                   matplotlib.tri._trirefine
import time:     15025 |     103586 |                 matplotlib.tri
import time:     14245 |      14245 |                 matplotlib.axes._secondary_axes
import time:     33374 |     649954 |               matplotlib.axes._axes
import time:      5930 |     793510 |             matplotlib.axes
import time:     22489 |      22489 |             matplotlib.projections.geo
import time:     17465 |      17465 |             matplotlib.projections.polar
import time:      3050 |       3050 |               mpl_toolkits
import time:     10047 |      10047 |                   mpl_toolkits.mplot3d.proj3d
import time:     27536 |      37582 |                 mpl_toolkits.mplot3d.art3d
import time:     16961 |      16961 |                 mpl_toolkits.mplot3d.axis3d
import time:     21143 |      75685 |               mpl_toolkits.mplot3d.axes3d
import time:     11001 |      89735 |             mpl_toolkits.mplot3d
import time:     14585 |     937783 |           matplotlib.projections
import time:     19071 |      19071 |           matplotlib.colorbar
import time:     26449 |     989340 |         matplotlib.figure
import time:     21822 |    9552012 |       matplotlib.pyplot
import time:     23505 |    9575516 |     fastest.plotting
import time:     12829 |    9798588 |   fastest
import time:     20176 |      20176 |   unitccl_cli.config
import time:     20356 |      20356 |   unitccl_cli.logging_utils
import time:     11161 |    9864154 | unitccl_cli.fastest_iface
